key current-time xcor ycor available-power actual-power
 5 3.6622522268102897 -6.220364628048433 -12.184131870496504 0 0 
 34 3.6622522268102897 -19.08071653588689 13.850652585694316 0 0 
 68 3.6622522268102897 -4.187036019648434 15.487310076159217 0 0 
 22 3.6622522268102897 16.330838041040064 -14.269655355350952 0 0 
 46 3.6622522268102897 8.450402785947626 13.822852924495113 0 0 
 35 3.6622522268102897 -11.079637738684582 -14.579829593156607 1 0 
 25 3.6622522268102897 16.733804236395557 9.11056992205882 0 0 
 60 3.6622522268102897 9.098939729228467 4.233798299775415 0 0 
 65 3.6622522268102897 12.551734779679961 -9.936485377204676 -1 -1 
 82 3.6622522268102897 5.208583159685876 6.697217377127462 0 0 
 57 3.6622522268102897 3.4859301819992408 -7.436198341448732 0 0 
 50 3.6622522268102897 17.599858459013706 8.398878313775532 0 0 
 6 3.6622522268102897 -7.581748693078589 10.602840468080718 0 0 
 13 3.6622522268102897 -5.069633181947571 9.878948318736859 0 0 
 76 3.6622522268102897 3.562773517058387 4.919344548611216 0 0 
 15 3.6622522268102897 -7.519190256525442 -1.3540062339448606 2 0 
 12 3.6622522268102897 10.790132331461171 18.72924936134638 1 1 
 44 3.6622522268102897 12.466130423634933 8.861287039077068 0 0 
 1 3.6622522268102897 -6.559786282193222 6.903200500044626 0 0 
 88 3.6622522268102897 -3.3697728116271106 9.412208119527643 0 0 
 31 3.6622522268102897 10.78170967989119 5.410543907070631 0 0 
 27 3.6622522268102897 -15.364660936409493 7.421403601860239 0 0 
 16 3.6622522268102897 10.26635618005488 7.616119073824904 0 0 
 2 3.6622522268102897 13.08336197920077 7.866904838700848 0 0 
 58 3.6622522268102897 3.907132301410141 4.7459377730761005 0 0 
 14 3.6622522268102897 -12.227053252494873 -19.005302536966955 0 0 
 62 3.6622522268102897 -13.682408486693163 -8.30624548588482 0 0 
 17 3.6622522268102897 7.579435062500405 15.399753624436336 0 0 
 78 3.6622522268102897 -4.686277330667576 10.660516399986836 0 0 
 26 3.6622522268102897 -19.25748528536692 19.083419643415006 0 0 
 71 3.6622522268102897 -7.037168159408072 8.015605317551355 0 0 
 61 3.6622522268102897 19.12810504727557 14.762222990786954 0 0 
 43 3.6622522268102897 -6.162816136405525 -4.552003484270968 0 0 
 32 3.6622522268102897 -2.674793027485206 11.77297704706987 0 0 
 49 3.6622522268102897 -1.5572468109976318 -1.1233757759091216 0 0 
 21 3.6622522268102897 5.2125880637333495 10.411173866490635 0 0 
 29 3.6622522268102897 -4.712429806496932 4.746406362943554 0 0 
 44 3.7907138819171537 12.466130423634933 8.861287039077068 0 0 
 50 3.7907138819171537 17.599858459013706 8.398878313775532 0 0 
 85 3.7907138819171537 -8.513301081780673 -9.380606096226595 0 0 
 67 3.7907138819171537 -12.419729093872041 14.986582861222868 0 0 
 52 3.7907138819171537 12.71544337811304 -10.206310020445384 0 0 
 42 3.7907138819171537 7.197410033031856 -13.418264441292147 0 0 
 40 3.7907138819171537 -11.434940188328202 16.943455046018542 0 0 
 58 3.7907138819171537 3.907132301410141 4.7459377730761005 0 0 
 79 3.7907138819171537 0.8910569228261852 -7.557194181443162 0 0 
 37 3.7907138819171537 16.87636812983778 -17.180208671219635 0 0 
 45 3.7907138819171537 -10.776612395533705 -19.344392676312086 0 0 
 60 3.7907138819171537 9.098939729228467 4.233798299775415 0 0 
 63 3.7907138819171537 -5.359960121553146 -6.808910216553386 0 0 
 38 3.7907138819171537 13.615834250209176 -8.859895258400106 0 0 
 39 3.7907138819171537 -5.05781154479386 18.862872736555406 0 0 
 80 3.7907138819171537 -2.5287723489215583 10.004214021588377 0 0 
 89 3.7907138819171537 -5.309673688691529 -6.473523558282489 0 0 
 6 3.7907138819171537 -7.581748693078589 10.602840468080718 0 0 
